,Pokemon Number,Stat Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Mega,First Type,Second Type,Species,First Ability,Second Ability,Hidden Ability,Generation,Egg Group 1,Egg Group 2,Is Sub Legendary,Is Legendary,Is Mythical
Bulbasaur,1,318,45,49,49,65,65,45,False,10,15,Seed Pokémon,159,153,27,1,8,11,False,False,False
Ivysaur,2,405,60,62,63,80,80,60,False,10,15,Seed Pokémon,159,153,27,1,8,11,False,False,False
Venusaur,3,525,80,82,83,100,100,80,False,10,15,Seed Pokémon,159,153,27,1,8,11,False,False,False
Venusaur(Mega Venusaur),3,625,80,100,123,122,120,80,True,10,15,Seed Pokémon,265,153,153,6,8,11,False,False,False
Charmander,4,309,39,52,43,60,50,65,False,7,13,Lizard Pokémon,23,153,228,1,4,11,False,False,False
Charmeleon,5,405,58,64,58,80,65,80,False,7,13,Flame Pokémon,23,153,228,1,4,11,False,False,False
Charizard,6,534,78,84,78,109,85,100,False,7,8,Flame Pokémon,23,153,228,1,4,11,False,False,False
Charizard(Mega Charizard X),6,634,78,130,111,130,85,100,True,7,3,Flame Pokémon,268,153,153,6,4,11,False,False,False
Charizard(Mega Charizard Y),6,634,78,104,78,159,115,100,True,7,8,Flame Pokémon,56,153,153,6,4,11,False,False,False
Squirtle,7,314,44,48,65,50,64,43,False,19,13,Tiny Turtle Pokémon,267,153,190,1,11,14,False,False,False
Wartortle,8,405,59,63,80,65,80,58,False,19,13,Turtle Pokémon,267,153,190,1,11,14,False,False,False
Blastoise,9,530,79,83,100,85,105,78,False,19,13,Shellfish Pokémon,267,153,190,1,11,14,False,False,False
Blastoise(Mega Blastoise),9,630,79,103,120,135,115,78,True,19,13,Shellfish Pokémon,135,153,153,6,11,14,False,False,False
Caterpie,10,195,45,30,35,20,20,45,False,1,13,Worm Pokémon,219,153,201,1,2,12,False,False,False
Metapod,11,205,50,20,55,25,25,30,False,1,13,Cocoon Pokémon,216,153,153,1,2,12,False,False,False
Butterfree,12,395,60,45,50,90,80,70,False,1,8,Butterfly Pokémon,34,153,266,1,2,12,False,False,False
Weedle,13,195,40,35,30,20,20,50,False,1,15,Hairy Bug Pokémon,219,153,201,1,2,12,False,False,False
Kakuna,14,205,45,25,50,25,25,35,False,1,15,Cocoon Pokémon,216,153,153,1,2,12,False,False,False
Beedrill,15,395,65,90,40,45,80,75,False,1,15,Poison Bee Pokémon,252,153,225,1,2,12,False,False,False
Beedrill(Mega Beedrill),15,495,65,150,40,15,80,145,True,1,15,Poison Bee Pokémon,1,153,153,6,2,12,False,False,False
Pidgey,16,251,40,45,40,35,35,56,False,14,8,Tiny Bird Pokémon,117,259,22,1,7,12,False,False,False
Pidgeotto,17,349,63,60,55,50,50,71,False,14,8,Bird Pokémon,117,259,22,1,7,12,False,False,False
Pidgeot,18,479,83,80,75,70,70,101,False,14,8,Bird Pokémon,117,259,22,1,7,12,False,False,False
Pidgeot(Mega Pidgeot),18,579,83,80,80,135,80,121,True,14,8,Bird Pokémon,152,153,153,6,7,12,False,False,False
Rattata,19,253,30,56,35,25,35,72,False,14,13,Mouse Pokémon,201,89,98,1,6,12,False,False,False
Rattata(Alolan Rattata),19,253,30,56,35,25,35,72,False,2,14,Mouse Pokémon,80,98,265,7,6,12,False,False,False
Raticate,20,413,55,81,60,50,70,97,False,14,13,Mouse Pokémon,201,89,98,1,6,12,False,False,False
Raticate(Alolan Raticate),20,413,75,71,70,40,80,77,False,2,14,Mouse Pokémon,80,98,265,7,6,12,False,False,False
Spearow,21,262,40,60,30,31,31,70,False,14,8,Tiny Bird Pokémon,117,153,225,1,7,12,False,False,False
Fearow,22,442,65,90,65,61,61,100,False,14,8,Beak Pokémon,117,153,225,1,7,12,False,False,False
Ekans,23,288,35,60,44,40,54,55,False,15,13,Snake Pokémon,112,216,278,1,4,6,False,False,False
Arbok,24,448,60,95,69,65,79,80,False,15,13,Cobra Pokémon,112,216,278,1,4,6,False,False,False
Pikachu,25,320,35,55,40,50,50,90,False,4,13,Mouse Pokémon,238,153,123,1,5,6,False,False,False
Pikachu(Partner Pikachu),25,430,45,80,50,75,60,120,False,4,13,Mouse Pokémon,153,153,153,1,5,6,False,False,False
